scene,views,clean_fps,compact_fps,delta_fps,fps_ratio,clean_ms_per_view,compact_ms_per_view,delta_ms_per_view,clean_peak_alloc_mib,compact_peak_alloc_mib,delta_peak_alloc_mib,peak_alloc_reduction_frac,clean_peak_reserved_mib,compact_peak_reserved_mib,delta_peak_reserved_mib,clean_triangles,compact_triangles,triangle_reduction_frac,clean_checkpoint_bytes,compact_checkpoint_bytes,checkpoint_reduction_frac
bicycle,25,37.6871851596004,36.13166380637186,-1.5555213532285421,0.9587254567662428,26.534529079993565,27.676855226357777,1.142326146364212,7586.69873046875,7308.02001953125,-278.6787109375,0.03673253951923851,7640.0,7360.0,-280.0,9422930,8309749,0.11813533582441979,952251999,889769311,0.06561570683560203
flowers,22,34.15805338177618,33.59441953716966,-0.563633844606521,0.983499239892071,29.28412491173455,29.782081587296545,0.4979566755619942,7691.826171875,7389.701171875,-302.125,0.039278708755108596,7742.0,7452.0,-290.0,9649601,8509358,0.11816478215005988,981469855,914527263,0.06820646773710641
garden,24,31.085143180462378,28.953293373207053,-2.1318498072553247,0.9314190127779358,32.16971221586896,34.53840990550816,2.3686976896391982,8274.193359375,8170.8486328125,-103.3447265625,0.012490006224643782,13520.0,13508.0,-12.0,11568056,11166587,0.03470496685009132,987752543,957570719,0.030556058006524413
stump,16,36.266063745969454,34.732596903700085,-1.5334668422693696,0.9577162039693432,27.576581109315157,28.792141975524526,1.215560866209369,6957.93505859375,6687.66796875,-270.26708984375,0.03884300263911532,7018.0,6742.0,-276.0,9277087,8180134,0.11824325890228259,962765407,900193311,0.06499204847313339
treehill,18,36.273732014694566,34.72209032754596,-1.551641687148603,0.9572240957583292,27.56856692334016,28.80094034804238,1.2323734247022209,7109.63916015625,6808.7919921875,-300.84716796875,0.042315391989899274,7442.0,7156.0,-286.0,9527637,8402362,0.11810640980549532,979063711,912878815,0.06760019318089096
room,39,30.716288447497334,28.103543024689042,-2.612745422808292,0.914939416353177,32.55619232853254,35.58303444431378,3.0268421157812426,12331.0732421875,12227.89501953125,-103.17822265625,0.008367335156460919,19892.0,19676.0,-216.0,11173063,10938652,0.020980012374404406,858904543,840228127,0.021744460606491402
counter,30,24.049096948192616,22.809440516023137,-1.239656432169479,0.9484530984743423,41.58163826084799,43.84216639316744,2.2605281323194504,12098.71728515625,11876.49853515625,-222.21875,0.018367133040842035,15152.0,14828.0,-324.0,9850919,9644247,0.02097997151331769,764173855,747061087,0.022393815082825622
kitchen,35,26.158549377912887,24.092242802100955,-2.0663065758119323,0.9210083653355553,38.229285162829214,41.507263055869515,3.277977893040301,11772.94482421875,11712.97412109375,-59.970703125,0.005093942426505821,16238.0,18312.0,2074.0,9716239,9512393,0.020979928550543064,743150879,725659423,0.023536883954893364
bonsai,37,29.263657483323254,27.54349750970157,-1.7201599736216835,0.941218558391002,34.17211275984038,36.30622691130853,2.1341141514681468,11923.76611328125,11564.7041015625,-359.06201171875,0.03011313777102772,18980.0,16994.0,-1986.0,10834182,9555533,0.11801989296469267,969216671,914812447,0.056132158709019976
