scene,frame,base_render_path,method_render_path,gt_path,clean_PSNR,method_PSNR,dPSNR_vs_clean,clean_SSIM,method_SSIM,dSSIM_vs_clean,clean_LPIPS,method_LPIPS,dLPIPS_vs_clean,phasej_PSNR,phasej_SSIM,phasej_LPIPS,changed_pixel_fraction,mean_abs_rgb_delta,max_abs_rgb_delta,strict_rgb_win_vs_clean
counter,00010.png,outputs/carnet/meshsplatopt/ecsr_phase_f/policy_val_compaction_ladder_v2_envfix/counter/ratio_0200/compact_model/test/ours_26000_phasef_extra_compact_base/renders/00010.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/renders/00010.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/gt/00010.png,26.289318084716797,28.16864776611328,1.8793296813964844,0.8435155749320984,0.8929926156997681,0.04947704076766968,0.2407519519329071,0.16599278151988983,-0.07475917041301727,28.16864776611328,0.8929926156997681,0.16599278151988983,0.9751855731010437,0.013035220094025135,0.2500000298023224,True
counter,00011.png,outputs/carnet/meshsplatopt/ecsr_phase_f/policy_val_compaction_ladder_v2_envfix/counter/ratio_0200/compact_model/test/ours_26000_phasef_extra_compact_base/renders/00011.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/renders/00011.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/gt/00011.png,28.278825759887695,29.536741256713867,1.2579154968261719,0.876978874206543,0.8988773226737976,0.02189844846725464,0.31841951608657837,0.252218633890152,-0.06620088219642639,29.536741256713867,0.8988773226737976,0.252218633890152,0.990312933921814,0.008598475717008114,0.2499999701976776,True
counter,00012.png,outputs/carnet/meshsplatopt/ecsr_phase_f/policy_val_compaction_ladder_v2_envfix/counter/ratio_0200/compact_model/test/ours_26000_phasef_extra_compact_base/renders/00012.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/renders/00012.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/gt/00012.png,24.800342559814453,25.912235260009766,1.1118927001953125,0.8457788228988647,0.8863299489021301,0.04055112600326538,0.23303982615470886,0.16092200577259064,-0.07211782038211823,25.912235260009766,0.8863299489021301,0.16092200577259064,0.9660512804985046,0.0130865927785635,0.2500000298023224,True
counter,00013.png,outputs/carnet/meshsplatopt/ecsr_phase_f/policy_val_compaction_ladder_v2_envfix/counter/ratio_0200/compact_model/test/ours_26000_phasef_extra_compact_base/renders/00013.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/renders/00013.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/gt/00013.png,26.608095169067383,28.786354064941406,2.1782588958740234,0.865852952003479,0.906614363193512,0.04076141119003296,0.21399593353271484,0.1474795937538147,-0.06651633977890015,28.786354064941406,0.906614363193512,0.1474795937538147,0.9873213171958923,0.012505107559263706,0.2500000298023224,True
counter,00014.png,outputs/carnet/meshsplatopt/ecsr_phase_f/policy_val_compaction_ladder_v2_envfix/counter/ratio_0200/compact_model/test/ours_26000_phasef_extra_compact_base/renders/00014.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/renders/00014.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/gt/00014.png,23.9808349609375,25.78122901916504,1.800394058227539,0.8358108997344971,0.8743339776992798,0.038523077964782715,0.28644615411758423,0.21600842475891113,-0.0704377293586731,25.78122901916504,0.8743339776992798,0.21600842475891113,0.9776447415351868,0.014423023909330368,0.2500000298023224,True
counter,00015.png,outputs/carnet/meshsplatopt/ecsr_phase_f/policy_val_compaction_ladder_v2_envfix/counter/ratio_0200/compact_model/test/ours_26000_phasef_extra_compact_base/renders/00015.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/renders/00015.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/gt/00015.png,27.488845825195312,29.549602508544922,2.0607566833496094,0.870402991771698,0.9011310338973999,0.030728042125701904,0.2541399598121643,0.1956070214509964,-0.05853293836116791,29.549602508544922,0.9011310338973999,0.1956070214509964,0.985507071018219,0.011404354125261307,0.2500000298023224,True
counter,00016.png,outputs/carnet/meshsplatopt/ecsr_phase_f/policy_val_compaction_ladder_v2_envfix/counter/ratio_0200/compact_model/test/ours_26000_phasef_extra_compact_base/renders/00016.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/renders/00016.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/gt/00016.png,26.81603240966797,28.729068756103516,1.9130363464355469,0.8804914951324463,0.9128042459487915,0.032312750816345215,0.2058885246515274,0.14993101358413696,-0.05595751106739044,28.729068756103516,0.9128042459487915,0.14993101358413696,0.9888282418251038,0.011217703111469746,0.2500000298023224,True
counter,00017.png,outputs/carnet/meshsplatopt/ecsr_phase_f/policy_val_compaction_ladder_v2_envfix/counter/ratio_0200/compact_model/test/ours_26000_phasef_extra_compact_base/renders/00017.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/renders/00017.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/gt/00017.png,23.922975540161133,25.89550018310547,1.972524642944336,0.8658372163772583,0.892340362071991,0.026503145694732666,0.28363746404647827,0.21172863245010376,-0.07190883159637451,25.89550018310547,0.892340362071991,0.21172863245010376,0.9909751415252686,0.015229690819978714,0.2500000298023224,True
counter,00018.png,outputs/carnet/meshsplatopt/ecsr_phase_f/policy_val_compaction_ladder_v2_envfix/counter/ratio_0200/compact_model/test/ours_26000_phasef_extra_compact_base/renders/00018.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/renders/00018.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/gt/00018.png,26.54022216796875,29.31078338623047,2.7705612182617188,0.8544878959655762,0.9022733569145203,0.04778546094894409,0.25521981716156006,0.1737188696861267,-0.08150094747543335,29.31078338623047,0.9022733569145203,0.1737188696861267,0.9888622760772705,0.014050002209842205,0.2500000298023224,True
counter,00019.png,outputs/carnet/meshsplatopt/ecsr_phase_f/policy_val_compaction_ladder_v2_envfix/counter/ratio_0200/compact_model/test/ours_26000_phasef_extra_compact_base/renders/00019.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/renders/00019.png,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_fixed_counter_20260625/recovery_model/test/ours_26000_v100_checkpoint_attached_ela_endpoint/gt/00019.png,23.67669677734375,24.528295516967773,0.8515987396240234,0.8608861565589905,0.8955252766609192,0.03463912010192871,0.22213175892829895,0.1640862226486206,-0.058045536279678345,24.528295516967773,0.8955252766609192,0.1640862226486206,0.9595857858657837,0.010688061825931072,0.2500000298023224,True
