scene,status,returncode,PSNR,SSIM,LPIPS,dPSNR_vs_clean,dSSIM_vs_clean,dLPIPS_vs_clean,dPSNR_vs_source,dSSIM_vs_source,dLPIPS_vs_source,dPSNR_vs_phasej,dSSIM_vs_phasej,dLPIPS_vs_phasej,clean_PSNR,clean_SSIM,clean_LPIPS,source_PSNR,source_SSIM,source_LPIPS,phasej_PSNR,phasej_SSIM,phasej_LPIPS,output_model,log_path
bicycle,PASS_COUNTER_GATE,0,24.021543502807617,0.7023565769195557,0.26608750224113464,0.7199306488037109,0.04248940944671631,-0.06598934531211853,0.10886192321777344,0.008642196655273438,-0.014180392026901245,0.0,0.0,0.0,23.301612854003906,0.6598671674728394,0.3320768475532532,23.912681579589844,0.6937143802642822,0.2802678942680359,24.021543502807617,0.7023565769195557,0.26608750224113464,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/bicycle/recovery_model,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/bicycle/v100_endpoint_command.log
flowers,PASS_COUNTER_GATE,0,20.300607681274414,0.5574578046798706,0.32950547337532043,0.6183509826660156,0.045636117458343506,-0.06505760550498962,0.117828369140625,0.01015704870223999,-0.02148684859275818,-0.003749847412109375,-0.0003123283386230469,0.00028333067893981934,19.6822566986084,0.5118216872215271,0.39456307888031006,20.18277931213379,0.5473007559776306,0.3509923219680786,20.304357528686523,0.5577701330184937,0.3292221426963806,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/flowers/recovery_model,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/flowers/v100_endpoint_command.log
garden,PASS_COUNTER_GATE,0,26.311111450195312,0.8278433680534363,0.13584257662296295,1.281900405883789,0.047808289527893066,-0.06547191739082336,0.27628135681152344,0.010730743408203125,-0.016468986868858337,0.0,0.0,0.0,25.029211044311523,0.7800350785255432,0.20131449401378632,26.03483009338379,0.8171126246452332,0.1523115634918213,26.311111450195312,0.8278433680534363,0.13584257662296295,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/garden/recovery_model,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/garden/v100_endpoint_command.log
stump,PASS_COUNTER_GATE,0,25.595104217529297,0.7240741848945618,0.26390883326530457,0.3900623321533203,0.018908560276031494,-0.03009524941444397,0.232574462890625,0.011544764041900635,-0.01783961057662964,0.0,0.0,0.0,25.205041885375977,0.7051656246185303,0.29400408267974854,25.362529754638672,0.7125294208526611,0.2817484438419342,25.595104217529297,0.7240741848945618,0.26390883326530457,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/stump/recovery_model,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/stump/v100_endpoint_command.log
treehill,PASS_COUNTER_GATE,0,21.296226501464844,0.5956059098243713,0.336318701505661,0.3620452880859375,0.031083106994628906,-0.06972494721412659,0.09783172607421875,0.007414460182189941,-0.02180543541908264,0.0,0.0,0.0,20.934181213378906,0.5645228028297424,0.4060436487197876,21.198394775390625,0.5881914496421814,0.35812413692474365,21.296226501464844,0.5956059098243713,0.336318701505661,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/treehill/recovery_model,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/treehill/v100_endpoint_command.log
room,PASS_COUNTER_GATE,0,30.305639266967773,0.9057302474975586,0.1959894448518753,1.5583629608154297,0.020887255668640137,-0.053913116455078125,1.1746711730957031,0.02084803581237793,-0.05274040997028351,0.0,0.0,0.0,28.747276306152344,0.8848429918289185,0.24990256130695343,29.13096809387207,0.8848822116851807,0.2487298548221588,30.305639266967773,0.9057302474975586,0.1959894448518753,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/room/recovery_model,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/room/v100_endpoint_command.log
counter,PASS_COUNTER_GATE,0,28.44917106628418,0.8937307000160217,0.18647237122058868,1.697397232055664,0.03167545795440674,-0.0655309408903122,1.2087478637695312,0.029586493968963623,-0.06322869658470154,0.0,0.0,0.0,26.751773834228516,0.862055242061615,0.2520033121109009,27.24042320251465,0.8641442060470581,0.24970106780529022,28.44917106628418,0.8937307000160217,0.18647237122058868,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/counter/recovery_model,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/counter/v100_endpoint_command.log
kitchen,PASS_COUNTER_GATE,0,30.199731826782227,0.9160871505737305,0.13195475935935974,2.3811798095703125,0.039634883403778076,-0.06723110377788544,2.2001705169677734,0.039168715476989746,-0.06699465215206146,0.0,0.0,0.0,27.818552017211914,0.8764522671699524,0.19918586313724518,27.999561309814453,0.8769184350967407,0.1989494115114212,30.199731826782227,0.9160871505737305,0.13195475935935974,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/kitchen/recovery_model,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/kitchen/v100_endpoint_command.log
bonsai,PASS_COUNTER_GATE,0,31.86200523376465,0.9302796125411987,0.17255529761314392,2.9667720794677734,0.03387933969497681,-0.08693748712539673,2.0775680541992188,0.03211122751235962,-0.08484601974487305,0.0,0.0,0.0,28.895233154296875,0.8964002728462219,0.25949278473854065,29.78443717956543,0.8981683850288391,0.25740131735801697,31.86200523376465,0.9302796125411987,0.17255529761314392,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/bonsai/recovery_model,/dev/shm/peilincai_spcarnet_v100_checkpoint_attached_ela_full9_fixed_20260625/bonsai/v100_endpoint_command.log
