suite,scene,method,budget,tri_ratio,psnr,lpips,dpsnr_b0,dpsnr_b0_lo,dpsnr_b0_hi,dlpips_b0,dpsnr_b0p,dpsnr_b0p_lo,dpsnr_b0p_hi,dlpips_b0p,fps_ratio
S-GEO,ss3dm_town03,B5,B25,0.2500,23.1424,0.2414,-0.0386,-0.1505,0.0536,-0.00305,,,,,1.655
S-GEO,ss3dm_town06,B5,B25,0.2500,20.7244,0.3170,-1.4887,-2.0674,-0.9419,0.00362,,,,,1.568
S-GEO,ss3dm_town01,B4,B25,0.2500,22.2500,0.2867,-0.3235,-0.4999,-0.1781,0.00365,,,,,1.655
S-GEO,ss3dm_town02,B4,B25,0.2500,22.3699,0.2821,-0.2539,-0.4080,-0.1305,0.00229,,,,,1.643
S-GEO,ss3dm_town03,B4,B25,0.2500,23.0216,0.2464,-0.1593,-0.2655,-0.0727,0.00191,,,,,1.677
S-GEO,ss3dm_town06,B4,B25,0.2500,20.6456,0.3192,-1.5675,-2.1297,-1.0325,0.00584,,,,,1.577
S-DEV,toy_parking,B5,B50,0.5000,30.3705,0.1060,-0.5238,-0.8813,-0.2183,0.01240,,,,,1.211
S-DEV,courtyard,B5,B50,0.5000,17.5663,0.3889,-0.1198,-0.1985,-0.0636,0.00385,,,,,1.170
S-DEV,toy_parking,B4,B50,0.5000,30.3746,0.0958,-0.5197,-0.8516,-0.2466,0.00215,,,,,1.221
S-DEV,courtyard,B4,B50,0.5000,17.6479,0.3830,-0.0382,-0.0610,-0.0067,-0.00202,,,,,1.173
S-DEV,toy_parking,B2,B50,0.5000,28.7733,0.1723,-2.1210,-2.7827,-1.4807,0.07872,,,,,1.324
S-DEV,courtyard,B2,B50,0.5000,17.4360,0.4297,-0.2500,-0.7964,0.4462,0.04468,,,,,1.173
S-DEV,toy_parking,B5-iter,B50,0.5000,30.3527,0.1088,-0.5416,-0.9159,-0.2214,0.01512,,,,,1.190
S-DEV,toy_parking,B6R,B50,0.4801,29.9879,0.1120,-0.9065,-1.4615,-0.4290,0.01837,,,,,0.635
S-DEV,courtyard,B6R,B50,0.4898,18.0259,0.3826,0.3398,-0.2815,1.5159,-0.00240,,,,,1.112
S-DEV,toy_parking,B5,B25,0.2500,29.7660,0.1070,-1.1284,-1.8300,-0.5703,0.01338,,,,,1.443
S-DEV,courtyard,B5,B25,0.2500,17.2707,0.3850,-0.4154,-0.6128,-0.2662,0.00001,,,,,1.337
S-DEV,toy_parking,B4,B25,0.2500,29.7277,0.0999,-1.1667,-1.8435,-0.6331,0.00625,,,,,1.447
S-DEV,courtyard,B4,B25,0.2500,17.2966,0.3825,-0.3894,-0.5754,-0.2473,-0.00249,,,,,1.344
S-DEV,toy_parking,B2,B25,0.2500,26.3612,0.2407,-4.5331,-5.5339,-3.5624,0.14704,,,,,1.540
